id	strain	year	ag_x	ag_y
ag0	BI/15793/68	1968	2.93220126	-13.81154258
ag1	BI/16190/68	1968	2.78652035	-13.64256903
ag2	BI/16398/68	1968	2.15395914	-12.96114538
ag3	HK/1/68	1968	0.39624125	-13.76275453
ag4	BI/808/69	1969	2.76066935	-13.09140464
ag5	BI/908/69	1969	1.78098134	-13.36810102
ag6	BI/17938/69	1969	2.54698139	-13.85796677
ag7	BI/93/70	1970	1.79160319	-13.81057947
ag8	BI/2668/70	1970	2.4052533	-14.61081297
ag9	BI/6449/71	1971	3.49479365	-14.58400712
ag10	BI/21438/71	1971	2.33983178	-13.1373911
ag11	BI/21801/71	1971	2.35741277	-13.14943539
ag12	HK/107/71	1971	3.17265555	-14.21454573
ag13	BI/6022/72	1972	3.18558128	-12.67428276
ag14	BI/21793/72	1972	4.24412778	-11.57957152
ag15	BI/23290/72	1972	4.49656316	-11.5720321
ag16	BI/23337/72	1972	4.49656316	-11.5720321
ag17	EN/42/72	1972	3.45539479	-11.78743472
ag18	BI/552/73	1973	4.48628286	-10.79899198
ag19	BI/748/73	1973	4.75772741	-11.62165224
ag20	BI/3517/73	1973	4.42154407	-11.71233622
ag21	PC/1/73	1973	5.40606681	-10.70851834
ag22	BI/5146/74	1974	5.54484556	-11.76244525
ag23	BI/5930/74	1974	4.61044328	-11.61062405
ag24	BI/5931/74	1974	4.26347368	-10.88662727
ag25	BI/7398/74	1974	5.24050683	-10.55896218
ag26	BI/9459/74	1974	4.50317124	-10.81244004
ag27	BI/334/75	1975	5.28588191	-11.05537362
ag28	BI/1843/75	1975	5.01062701	-9.33271658
ag29	BI/2600/75	1975	5.92695891	-10.97196287
ag30	BI/2813/75	1975	4.96752387	-11.78559612
ag31	BI/4273/75	1975	6.19451536	-11.43741179
ag32	VI/3/75	1975	4.58461171	-8.14103119
ag33	BI/628/76	1976	4.99830179	-5.31010306
ag34	BI/1761/76	1976	3.04205725	-6.98758942
ag35	BI/2271/76	1976	5.14460459	-5.38224473
ag36	BI/5029/76	1976	2.67617654	-6.59283013
ag37	BI/5168/76	1976	3.385272	-7.21131963
ag38	BI/5657/76	1976	2.9262286	-6.63173903
ag39	BI/6545/76	1976	2.98788926	-6.72330941
