id	cluster	cluster_order	year
s0	PE09	12	2014
s1	PE09	12	2011
s2	PE09	12	2011
s3	PE09	12	2014
s4	PE09	12	2014
s5	PE09	12	2010
s6	PE09	12	2012
s7	PE09	12	2012
s8	PE09	12	2010
s9	PE09	12	2014
s10	PE09	12	2013
s11	PE09	12	2014
s12	PE09	12	2012
s13	PE09	12	2011
s14	PE09	12	2012
s15	PE09	12	2014
s16	PE09	12	2011
s17	PE09	12	2014
s18	PE09	12	2012
s19	PE09	12	2010
s20	PE09	12	2014
s21	PE09	12	2013
s22	PE09	12	2013
s23	PE09	12	2012
s24	PE09	12	2012
s25	PE09	12	2011
s26	PE09	12	2013
s27	PE09	12	2014
s28	PE09	12	2014
s29	PE09	12	2014
s30	PE09	12	2014
s31	PE09	12	2012
s32	PE09	12	2013
s33	PE09	12	2012
s34	PE09	12	2014
s35	PE09	12	2013
s36	PE09	12	2013
s37	PE09	12	2012
s38	PE09	12	2011
s39	PE09	12	2013
s40	HK68	0	1968
s41	HK68	0	1968
s42	HK68	0	1968
s43	HK68	0	1968
s44	HK68	0	1968
s45	HK68	0	1968
s46	HK68	0	1968
s47	HK68	0	1968
s48	HK68	0	1969
s49	HK68	0	1968
s50	HK68	0	1970
s51	HK68	0	1969
s52	HK68	0	1970
s53	HK68	0	1968
s54	HK68	0	1971
s55	HK68	0	1968
s56	HK68	0	1968
s57	HK68	0	1968
s58	HK68	0	1968
s59	HK68	0	1970
s60	HK68	0	1971
s61	HK68	0	1969
s62	HK68	0	1968
s63	HK68	0	1968
s64	HK68	0	1971
s65	HK68	0	1968
s66	HK68	0	1968
s67	HK68	0	1968
s68	HK68	0	1970
s69	HK68	0	1968
s70	HK68	0	1971
s71	HK68	0	1968
s72	HK68	0	1968
s73	HK68	0	1968
s74	HK68	0	1968
s75	HK68	0	1968
s76	HK68	0	1968
s77	HK68	0	1968
s78	HK68	0	1968
s79	HK68	0	1968
s80	BE92	7	1992
s81	BE92	7	1994
s82	BE92	7	1993
s83	BE92	7	1993
s84	BE92	7	1994
s85	BE92	7	1993
s86	BE92	7	1993
s87	BE92	7	1994
s88	BE92	7	1993
s89	BE92	7	1994
s90	BE92	7	1994
s91	BE92	7	1993
s92	BE92	7	1993
s93	BE92	7	1993
s94	BE92	7	1994
s95	BE92	7	1994
s96	BE92	7	1992
s97	BE92	7	1993
s98	BE92	7	1993
s99	BE92	7	1992
s100	BE92	7	1994
s101	BE92	7	1994
s102	BE92	7	1993
s103	BE92	7	1992
s104	BE92	7	1993
s105	BE92	7	1993
s106	BE92	7	1994
s107	BE92	7	1994
s108	BE92	7	1994
s109	BE92	7	1993
s110	BE92	7	1994
s111	BE92	7	1994
s112	BE92	7	1994
s113	BE92	7	1994
s114	BE92	7	1993
s115	BE92	7	1994
s116	BE92	7	1994
s117	BE92	7	1994
s118	BE92	7	1994
s119	BE92	7	1994
s120	SW13	13	2018
s121	SW13	13	2018
s122	SW13	13	2018
s123	SW13	13	2015
s124	SW13	13	2016
s125	SW13	13	2019
s126	SW13	13	2017
s127	SW13	13	2015
s128	SW13	13	2016
s129	SW13	13	2017
s130	SW13	13	2019
s131	SW13	13	2017
s132	SW13	13	2016
s133	SW13	13	2015
s134	SW13	13	2019
s135	SW13	13	2017
s136	SW13	13	2019
s137	SW13	13	2016
s138	SW13	13	2017
s139	SW13	13	2019
s140	SW13	13	2019
s141	SW13	13	2017
s142	SW13	13	2019
s143	SW13	13	2017
s144	SW13	13	2016
s145	SW13	13	2018
s146	SW13	13	2017
s147	SW13	13	2018
s148	SW13	13	2016
s149	SW13	13	2019
s150	SW13	13	2018
s151	SW13	13	2017
s152	SW13	13	2019
s153	SW13	13	2016
s154	SW13	13	2019
s155	SW13	13	2016
s156	SW13	13	2015
s157	SW13	13	2017
s158	SW13	13	2018
s159	SW13	13	2018
s160	CA04	11	2009
s161	CA04	11	2009
s162	CA04	11	2009
s163	CA04	11	2008
s164	CA04	11	2007
s165	CA04	11	2006
s166	CA04	11	2006
s167	CA04	11	2007
s168	CA04	11	2007
s169	CA04	11	2007
s170	CA04	11	2009
s171	CA04	11	2007
s172	CA04	11	2009
s173	CA04	11	2007
s174	CA04	11	2009
s175	CA04	11	2009
s176	CA04	11	2008
s177	CA04	11	2007
s178	CA04	11	2009
s179	CA04	11	2009
s180	CA04	11	2007
s181	CA04	11	2008
s182	CA04	11	2009
s183	CA04	11	2009
s184	CA04	11	2008
s185	CA04	11	2009
s186	CA04	11	2006
s187	CA04	11	2009
s188	CA04	11	2009
s189	CA04	11	2007
s190	CA04	11	2009
s191	CA04	11	2007
s192	CA04	11	2009
s193	CA04	11	2009
s194	CA04	11	2007
s195	CA04	11	2007
s196	CA04	11	2008
s197	CA04	11	2007
s198	CA04	11	2007
s199	CA04	11	2007
s200	VI75	2	1975
s201	VI75	2	1975
s202	VI75	2	1975
s203	VI75	2	1975
s204	VI75	2	1976
s205	VI75	2	1976
s206	VI75	2	1975
s207	VI75	2	1975
s208	VI75	2	1976
s209	VI75	2	1975
s210	VI75	2	1976
s211	VI75	2	1975
s212	VI75	2	1976
s213	VI75	2	1976
s214	VI75	2	1975
s215	VI75	2	1976
s216	VI75	2	1975
s217	VI75	2	1976
s218	VI75	2	1975
s219	VI75	2	1976
s220	VI75	2	1975
s221	VI75	2	1976
s222	VI75	2	1975
s223	VI75	2	1975
s224	VI75	2	1975
s225	VI75	2	1975
s226	VI75	2	1976
s227	VI75	2	1976
s228	VI75	2	1975
s229	VI75	2	1975
s230	VI75	2	1976
s231	VI75	2	1976
s232	VI75	2	1975
s233	VI75	2	1976
s234	VI75	2	1976
s235	VI75	2	1976
s236	VI75	2	1976
s237	VI75	2	1975
s238	VI75	2	1976
s239	VI75	2	1976
s240	TX77	3	1977
s241	TX77	3	1978
s242	TX77	3	1977
s243	TX77	3	1978
s244	TX77	3	1977
s245	TX77	3	1978
s246	TX77	3	1978
s247	TX77	3	1977
s248	TX77	3	1977
s249	TX77	3	1977
s250	TX77	3	1977
s251	TX77	3	1978
s252	TX77	3	1978
s253	TX77	3	1978
s254	TX77	3	1978
s255	TX77	3	1977
s256	TX77	3	1978
s257	TX77	3	1978
s258	TX77	3	1977
s259	TX77	3	1977
s260	TX77	3	1977
s261	TX77	3	1977
s262	TX77	3	1977
s263	TX77	3	1978
s264	TX77	3	1978
s265	TX77	3	1978
s266	TX77	3	1978
s267	TX77	3	1977
s268	TX77	3	1977
s269	TX77	3	1978
s270	TX77	3	1977
s271	TX77	3	1977
s272	TX77	3	1977
s273	TX77	3	1978
s274	TX77	3	1978
s275	TX77	3	1978
s276	TX77	3	1978
s277	TX77	3	1978
s278	TX77	3	1977
s279	TX77	3	1977
s280	EN72	1	1973
s281	EN72	1	1973
s282	EN72	1	1972
s283	EN72	1	1974
s284	EN72	1	1974
s285	EN72	1	1974
s286	EN72	1	1974
s287	EN72	1	1972
s288	EN72	1	1973
s289	EN72	1	1973
s290	EN72	1	1972
s291	EN72	1	1972
s292	EN72	1	1972
s293	EN72	1	1974
s294	EN72	1	1974
s295	EN72	1	1972
s296	EN72	1	1974
s297	EN72	1	1973
s298	EN72	1	1974
s299	EN72	1	1974
s300	EN72	1	1972
s301	EN72	1	1973
s302	EN72	1	1972
s303	EN72	1	1972
s304	EN72	1	1972
s305	EN72	1	1974
s306	EN72	1	1973
s307	EN72	1	1973
s308	EN72	1	1972
s309	EN72	1	1972
s310	EN72	1	1972
s311	EN72	1	1972
s312	EN72	1	1972
s313	EN72	1	1974
s314	EN72	1	1973
s315	EN72	1	1972
s316	EN72	1	1972
s317	EN72	1	1974
s318	EN72	1	1974
s319	EN72	1	1972
s320	FU02	10	2002
s321	FU02	10	2005
s322	FU02	10	2002
s323	FU02	10	2005
s324	FU02	10	2005
s325	FU02	10	2003
s326	FU02	10	2004
s327	FU02	10	2004
s328	FU02	10	2003
s329	FU02	10	2004
s330	FU02	10	2005
s331	FU02	10	2002
s332	FU02	10	2005
s333	FU02	10	2003
s334	FU02	10	2002
s335	FU02	10	2004
s336	FU02	10	2002
s337	FU02	10	2003
s338	FU02	10	2004
s339	FU02	10	2003
s340	FU02	10	2003
s341	FU02	10	2004
s342	FU02	10	2005
s343	FU02	10	2002
s344	FU02	10	2004
s345	FU02	10	2004
s346	FU02	10	2004
s347	FU02	10	2003
s348	FU02	10	2004
s349	FU02	10	2002
s350	FU02	10	2005
s351	FU02	10	2002
s352	FU02	10	2003
s353	FU02	10	2003
s354	FU02	10	2004
s355	FU02	10	2004
s356	FU02	10	2005
s357	FU02	10	2002
s358	FU02	10	2003
s359	FU02	10	2004
s360	BE89	6	1991
s361	BE89	6	1990
s362	BE89	6	1990
s363	BE89	6	1991
s364	BE89	6	1991
s365	BE89	6	1989
s366	BE89	6	1991
s367	BE89	6	1991
s368	BE89	6	1989
s369	BE89	6	1990
s370	BE89	6	1990
s371	BE89	6	1989
s372	BE89	6	1990
s373	BE89	6	1991
s374	BE89	6	1991
s375	BE89	6	1991
s376	BE89	6	1989
s377	BE89	6	1989
s378	BE89	6	1990
s379	BE89	6	1991
s380	BE89	6	1991
s381	BE89	6	1989
s382	BE89	6	1991
s383	BE89	6	1991
s384	BE89	6	1991
s385	BE89	6	1989
s386	BE89	6	1990
s387	BE89	6	1989
s388	BE89	6	1991
s389	BE89	6	1991
s390	BE89	6	1991
s391	BE89	6	1991
s392	BE89	6	1989
s393	BE89	6	1989
s394	BE89	6	1991
s395	BE89	6	1991
s396	BE89	6	1990
s397	BE89	6	1991
s398	BE89	6	1991
s399	BE89	6	1990
s400	SY97	9	2001
s401	SY97	9	2001
s402	SY97	9	2000
s403	SY97	9	2000
s404	SY97	9	2000
s405	SY97	9	2000
s406	SY97	9	1997
s407	SY97	9	1999
s408	SY97	9	2000
s409	SY97	9	2000
s410	SY97	9	2000
s411	SY97	9	2000
s412	SY97	9	2000
s413	SY97	9	2000
s414	SY97	9	2000
s415	SY97	9	2000
s416	SY97	9	1999
s417	SY97	9	2000
s418	SY97	9	2001
s419	SY97	9	2001
s420	SY97	9	1997
s421	SY97	9	2000
s422	SY97	9	1998
s423	SY97	9	2001
s424	SY97	9	2000
s425	SY97	9	1998
s426	SY97	9	2000
s427	SY97	9	1999
s428	SY97	9	2000
s429	SY97	9	2001
s430	SY97	9	1999
s431	SY97	9	1997
s432	SY97	9	1997
s433	SY97	9	1999
s434	SY97	9	1999
s435	SY97	9	1999
s436	SY97	9	1999
s437	SY97	9	1998
s438	SY97	9	1999
s439	SY97	9	1999
s440	WU95	8	1995
s441	WU95	8	1996
s442	WU95	8	1995
s443	WU95	8	1995
s444	WU95	8	1995
s445	WU95	8	1996
s446	WU95	8	1996
s447	WU95	8	1995
s448	WU95	8	1996
s449	WU95	8	1995
s450	WU95	8	1996
s451	WU95	8	1996
s452	WU95	8	1996
s453	WU95	8	1995
s454	WU95	8	1995
s455	WU95	8	1995
s456	WU95	8	1995
s457	WU95	8	1996
s458	WU95	8	1996
s459	WU95	8	1996
s460	WU95	8	1995
s461	WU95	8	1995
s462	WU95	8	1996
s463	WU95	8	1995
s464	WU95	8	1995
s465	WU95	8	1995
s466	WU95	8	1995
s467	WU95	8	1995
s468	WU95	8	1996
s469	WU95	8	1996
s470	WU95	8	1996
s471	WU95	8	1995
s472	WU95	8	1995
s473	WU95	8	1996
s474	WU95	8	1995
s475	WU95	8	1995
s476	WU95	8	1996
s477	WU95	8	1995
s478	WU95	8	1996
s479	WU95	8	1996
s480	BK79	4	1986
s481	BK79	4	1985
s482	BK79	4	1983
s483	BK79	4	1986
s484	BK79	4	1981
s485	BK79	4	1980
s486	BK79	4	1984
s487	BK79	4	1982
s488	BK79	4	1979
s489	BK79	4	1982
s490	BK79	4	1980
s491	BK79	4	1980
s492	BK79	4	1979
s493	BK79	4	1982
s494	BK79	4	1980
s495	BK79	4	1983
s496	BK79	4	1984
s497	BK79	4	1983
s498	BK79	4	1982
s499	BK79	4	1980
s500	BK79	4	1982
s501	BK79	4	1985
s502	BK79	4	1986
s503	BK79	4	1985
s504	BK79	4	1986
s505	BK79	4	1979
s506	BK79	4	1980
s507	BK79	4	1981
s508	BK79	4	1985
s509	BK79	4	1985
s510	BK79	4	1979
s511	BK79	4	1980
s512	BK79	4	1982
s513	BK79	4	1985
s514	BK79	4	1981
s515	BK79	4	1984
s516	BK79	4	1981
s517	BK79	4	1982
s518	BK79	4	1982
s519	BK79	4	1983
s520	SI87	5	1988
s521	SI87	5	1987
s522	SI87	5	1987
s523	SI87	5	1988
s524	SI87	5	1988
s525	SI87	5	1988
s526	SI87	5	1987
s527	SI87	5	1988
s528	SI87	5	1988
s529	SI87	5	1987
s530	SI87	5	1987
s531	SI87	5	1988
s532	SI87	5	1987
s533	SI87	5	1987
s534	SI87	5	1988
s535	SI87	5	1988
s536	SI87	5	1988
s537	SI87	5	1987
s538	SI87	5	1988
s539	SI87	5	1988
s540	SI87	5	1987
s541	SI87	5	1988
s542	SI87	5	1987
s543	SI87	5	1987
s544	SI87	5	1988
s545	SI87	5	1987
s546	SI87	5	1987
s547	SI87	5	1988
s548	SI87	5	1987
s549	SI87	5	1987
s550	SI87	5	1988
s551	SI87	5	1987
s552	SI87	5	1988
s553	SI87	5	1987
s554	SI87	5	1987
