PLM,method,b0,b1,DMS,emergent
ESM2-150M,equal,1.0,1.0,0.8112,0.7527
ESM2-150M,CLIB_only,0.0,0.0,0.8833,0.8532
ESM2-150M,bloom_fit,-0.181,0.148,0.8793,0.8427
ESM2-150M,supervised,-0.105,0.262,0.8792,0.8385
ESM2-150M,protein_only(eq),1.0,1.0,0.5627,0.5102
ESM2-650M,equal,1.0,1.0,0.7856,0.7556
ESM2-650M,CLIB_only,0.0,0.0,0.8833,0.8532
ESM2-650M,bloom_fit,-0.102,0.449,0.8631,0.8515
ESM2-650M,supervised,0.094,0.313,0.8804,0.848
ESM2-650M,protein_only(eq),1.0,1.0,0.4967,0.4933
ESM2-3B,equal,1.0,1.0,0.7883,0.7529
ESM2-3B,CLIB_only,0.0,0.0,0.8833,0.8532
ESM2-3B,bloom_fit,-0.723,0.37,0.8241,0.8578
ESM2-3B,supervised,-0.046,0.364,0.8773,0.8572
ESM2-3B,protein_only(eq),1.0,1.0,0.5052,0.4838
ESM2cov,equal,1.0,1.0,0.884,0.8691
ESM2cov,CLIB_only,0.0,0.0,0.8833,0.8532
ESM2cov,bloom_fit,0.285,0.942,0.8985,0.8983
ESM2cov,supervised,0.268,0.955,0.8976,0.8989
ESM2cov,protein_only(eq),1.0,1.0,0.8171,0.8294
