task,n_pos,method,b0,b1,mean_rank,AUROC,d_vs_equal,CI,overlap_pos
DMS,19,"A_equal_w(1,1)",1.0,1.0,2812.9473684210525,0.8840223697276957,0.0,"[0,0]",
DMS,19,"CLIB_only(0,0)",0.0,0.0,2798.3684210526317,0.8833037160926148,-14.578947368420813,,
DMS,19,proxy_freq>=0.01,0.194,2.106,3064.5789473684213,0.8736106029721772,251.63157894736878,"[-1079,1891]",5.0
DMS,19,proxy_freq>=0.001,0.191,1.543,2835.4210526315787,0.8830924754786669,22.473684210526244,"[-1179,1469]",7.0
DMS,19,proxy_freq>=0.0001,0.186,0.996,2573.7894736842104,0.8939180125089288,-239.15789473684208,"[-1256,938]",8.0
DMS,19,supervised_OOF(ref),,,2936.2631578947367,0.8789199289186223,123.31578947368416,,
Omicron,30,"A_equal_w(1,1)",1.0,1.0,1258.9,0.9485283768679885,0.0,"[0,0]",
Omicron,30,"CLIB_only(0,0)",0.0,0.0,2597.5666666666666,0.8918063777235032,1338.6666666666665,,
Omicron,30,proxy_freq>=0.01,0.194,2.106,374.53333333333336,0.985137503277173,-884.3666666666668,"[-1157,-609]",30.0
Omicron,30,proxy_freq>=0.001,0.191,1.543,417.06666666666666,0.9833767989954603,-841.8333333333335,"[-1095,-583]",30.0
Omicron,30,proxy_freq>=0.0001,0.186,0.996,518.7333333333333,0.9791682190117427,-740.1666666666667,"[-973,-500]",30.0
Omicron,30,supervised_OOF(ref),,,387.23333333333335,0.9846117757447806,-871.6666666666667,,
Alpha,7,"A_equal_w(1,1)",1.0,1.0,2759.1428571428573,0.8860569537988893,0.0,"[0,0]",
Alpha,7,"CLIB_only(0,0)",0.0,0.0,3661.1428571428573,0.8470341486470518,902.0,,
Alpha,7,proxy_freq>=0.01,0.194,2.106,1583.2857142857142,0.934686281460475,-1175.8571428571431,"[-1973,-251]",7.0
Alpha,7,proxy_freq>=0.001,0.191,1.543,1582.4285714285713,0.9347217298830202,-1176.714285714286,"[-1859,-351]",7.0
Alpha,7,proxy_freq>=0.0001,0.186,0.996,1661.4285714285713,0.9314545669384379,-1097.714285714286,"[-1614,-397]",7.0
Alpha,7,supervised_OOF(ref),,,2438.1428571428573,0.8993323880420655,-321.0,,
Beta,8,"A_equal_w(1,1)",1.0,1.0,1487.375,0.9386709541337525,0.0,"[0,0]",
Beta,8,"CLIB_only(0,0)",0.0,0.0,2151.0,0.9092549319657554,663.625,,
Beta,8,proxy_freq>=0.01,0.194,2.106,532.75,0.9781525290541379,-954.625,"[-1619,-385]",6.0
Beta,8,proxy_freq>=0.001,0.191,1.543,572.25,0.976518880019852,-915.125,"[-1528,-390]",8.0
Beta,8,proxy_freq>=0.0001,0.186,0.996,673.75,0.972321022374788,-813.625,"[-1337,-370]",8.0
Beta,8,supervised_OOF(ref),,,689.125,0.9716851399975185,-798.25,,
Gamma,1,"A_equal_w(1,1)",1.0,1.0,1594.0,0.9341354502604813,0.0,"[0,0]",
Gamma,1,"CLIB_only(0,0)",0.0,0.0,2406.0,0.8960555693376333,812.0,,
Gamma,1,proxy_freq>=0.01,0.194,2.106,92.0,0.9962374927644092,-1502.0,"[-1502,-1502]",1.0
Gamma,1,proxy_freq>=0.001,0.191,1.543,130.0,0.9946663358967998,-1464.0,"[-1464,-1464]",1.0
Gamma,1,proxy_freq>=0.0001,0.186,0.996,270.0,0.98887786322666,-1324.0,"[-1324,-1324]",1.0
Gamma,1,supervised_OOF(ref),,,11471.0,0.5257587033821219,9877.0,,
Delta,7,"A_equal_w(1,1)",1.0,1.0,1114.0,0.9540942928039702,0.0,"[0,0]",
Delta,7,"CLIB_only(0,0)",0.0,0.0,4336.857142857143,0.8189353657095593,3222.857142857143,,
Delta,7,proxy_freq>=0.01,0.194,2.106,232.85714285714286,0.9905352711804325,-881.1428571428571,"[-1268,-459]",7.0
Delta,7,proxy_freq>=0.001,0.191,1.543,305.85714285714283,0.9875162471936666,-808.1428571428571,"[-1198,-401]",7.0
Delta,7,proxy_freq>=0.0001,0.186,0.996,478.2857142857143,0.9803852061916578,-635.7142857142858,"[-1019,-204]",7.0
Delta,7,supervised_OOF(ref),,,359.57142857142856,0.9852948127141675,-754.4285714285714,,
